price,monthly_fee,living_area,number_rooms,type,address
4200000,3800,75.5,3,apartment,"Vasagatan 12A, Stockholm"
2850000,4500,62.0,2,apartment,"Södra Förstadsgatan 33, Malmö"
2100000,3200,48.0,2,apartment,"Storgatan 7, Linköping"
3500000,4800,70.0,3,apartment,"Järnvägsgatan 10, Helsingborg"
1900000,2900,35.0,1,apartment,"Studentvägen 5, Lund"
4800000,5800,88.0,3,apartment,"Hamngatan 1, Malmö"
2600000,4100,55.0,2,apartment,"Västra Esplanaden 12, Växjö"
3900000,5000,80.0,3,apartment,"Kungsgatan 42, Stockholm"
1750000,2800,30.0,1,apartment,"Trädgårdsgatan 2B, Jönköping"
3300000,4300,68.0,2,apartment,"Svartbäcksgatan 1, Uppsala"
2400000,3900,50.0,2,apartment,"Ågatan 17, Eskilstuna"
3000000,4700,65.0,2,apartment,"Stortorget 5, Örebro"
4400000,5100,85.0,3,apartment,"Karlavägen 78, Stockholm"
2200000,3400,40.0,1,apartment,"Klostergatan 21, Skövde"
3600000,4900,72.0,3,apartment,"Fredriksbergsvägen 15, Kalmar"
2000000,3000,38.0,1,apartment,"Skånegatan 101, Göteborg"
4000000,5300,82.0,3,apartment,"Östra Rönneholmsvägen 8, Malmö"
2500000,3600,52.0,2,apartment,"Klostergatan 10, Uppsala"
3400000,4600,69.0,2,apartment,"Drottninggatan 15, Norrköping"
4100000,5400,84.0,3,apartment,"Folkungagatan 100, Stockholm"
2300000,3100,45.0,2,apartment,"Kaserngatan 6, Luleå"
3800000,5000,78.0,3,apartment,"Sankt Petri Kyrkogata 11, Lund"
